timestamp=1773211958606, cong_win=2754, send_adv_win=64158
timestamp=1773211958606, cong_win=2754, send_adv_win=64158
timestamp=1773211958606, cong_win=2754, send_adv_win=64158
timestamp=1773211958606, cong_win=2754, send_adv_win=64158
timestamp=1773211958606, cong_win=2754, send_adv_win=64158
timestamp=1773211958606, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958607, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958608, cong_win=2754, send_adv_win=64158
timestamp=1773211958609, cong_win=2754, send_adv_win=64158
timestamp=1773211958609, cong_win=2754, send_adv_win=64158
timestamp=1773211958609, cong_win=2754, send_adv_win=64158
timestamp=1773211958609, cong_win=2754, send_adv_win=64158
timestamp=1773211958609, cong_win=2754, send_adv_win=64158
timestamp=1773211958609, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958610, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958611, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958612, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958613, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958614, cong_win=2754, send_adv_win=64158
timestamp=1773211958615, cong_win=2754, send_adv_win=64158
timestamp=1773211958615, cong_win=2754, send_adv_win=64158
timestamp=1773211958615, cong_win=2754, send_adv_win=64158
timestamp=1773211958615, cong_win=2754, send_adv_win=64158
timestamp=1773211958615, cong_win=2754, send_adv_win=64158
timestamp=1773211958615, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958616, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958617, cong_win=2754, send_adv_win=64158
timestamp=1773211958618, cong_win=2754, send_adv_win=64158
timestamp=1773211958618, cong_win=2754, send_adv_win=64158
timestamp=1773211958618, cong_win=2754, send_adv_win=64158
timestamp=1773211958618, cong_win=2754, send_adv_win=64158
timestamp=1773211958618, cong_win=2754, send_adv_win=64402
timestamp=1773211958818, cong_win=1377, send_adv_win=64402
timestamp=1773211958818, cong_win=1377, send_adv_win=65535
timestamp=1773211959019, cong_win=1377, send_adv_win=65535
timestamp=1773211959219, cong_win=1377, send_adv_win=65535
timestamp=1773211959419, cong_win=1377, send_adv_win=65535
timestamp=1773211959620, cong_win=1377, send_adv_win=65535
timestamp=1773211959620, cong_win=1377, send_adv_win=65535
timestamp=1773211959821, cong_win=1377, send_adv_win=65535
timestamp=1773211960021, cong_win=1377, send_adv_win=65535
timestamp=1773211960221, cong_win=1377, send_adv_win=65535
timestamp=1773211960422, cong_win=1377, send_adv_win=65535
timestamp=1773211960622, cong_win=1377, send_adv_win=65535
timestamp=1773211960822, cong_win=1377, send_adv_win=65535
timestamp=1773211961022, cong_win=1377, send_adv_win=65535
timestamp=1773211961223, cong_win=1377, send_adv_win=65535
timestamp=1773211961423, cong_win=1377, send_adv_win=65535
timestamp=1773275381032, cong_win=1377, send_adv_win=65535
timestamp=1773275381082, cong_win=2754, send_adv_win=65524
timestamp=1773275381483, cong_win=1377, send_adv_win=65535
timestamp=1773275381533, cong_win=2754, send_adv_win=65529
timestamp=1773275381934, cong_win=1377, send_adv_win=65535
timestamp=1773275381985, cong_win=2754, send_adv_win=65472
timestamp=1773275382185, cong_win=1377, send_adv_win=65472
timestamp=1773275382385, cong_win=1377, send_adv_win=65472
timestamp=1773275382586, cong_win=1377, send_adv_win=65472
timestamp=1773275382786, cong_win=1377, send_adv_win=65472
timestamp=1773275382837, cong_win=2754, send_adv_win=64158
timestamp=1773275382889, cong_win=3992, send_adv_win=62781
timestamp=1773275382940, cong_win=4890, send_adv_win=62781
timestamp=1773275382941, cong_win=5277, send_adv_win=64297
timestamp=1773275382991, cong_win=5972, send_adv_win=62781
timestamp=1773275382991, cong_win=6289, send_adv_win=64158
timestamp=1773275382993, cong_win=6590, send_adv_win=64776
timestamp=1773275382993, cong_win=6877, send_adv_win=64158
timestamp=1773275382995, cong_win=7152, send_adv_win=64158
timestamp=1773275382996, cong_win=7417, send_adv_win=64158
timestamp=1773275382997, cong_win=7672, send_adv_win=64389
timestamp=1773275383041, cong_win=8158, send_adv_win=62781
timestamp=1773275383042, cong_win=8390, send_adv_win=64158
timestamp=1773275383043, cong_win=8615, send_adv_win=64158
timestamp=1773275383045, cong_win=8835, send_adv_win=65071
timestamp=1773275383045, cong_win=9049, send_adv_win=64158
timestamp=1773275383046, cong_win=9258, send_adv_win=64158
timestamp=1773275383047, cong_win=9462, send_adv_win=64158
timestamp=1773275383049, cong_win=9662, send_adv_win=64158
timestamp=1773275383050, cong_win=9858, send_adv_win=64754
timestamp=1773275383050, cong_win=10050, send_adv_win=64158
timestamp=1773275383052, cong_win=10238, send_adv_win=64158
timestamp=1773275383053, cong_win=10423, send_adv_win=64158
timestamp=1773275383054, cong_win=10604, send_adv_win=64158
timestamp=1773275383055, cong_win=10782, send_adv_win=64453
timestamp=1773275383057, cong_win=10957, send_adv_win=64158
timestamp=1773275383067, cong_win=11130, send_adv_win=64158
timestamp=1773275383078, cong_win=12725, send_adv_win=63891
timestamp=1773275383092, cong_win=14140, send_adv_win=64158
timestamp=1773275383101, cong_win=14537, send_adv_win=62781
timestamp=1773275383115, cong_win=15545, send_adv_win=64158
timestamp=1773275383128, cong_win=17167, send_adv_win=64158
timestamp=1773275383144, cong_win=18443, send_adv_win=64158
timestamp=1773275383161, cong_win=19924, send_adv_win=64158
timestamp=1773275383178, cong_win=21388, send_adv_win=64158
timestamp=1773275383197, cong_win=22839, send_adv_win=64158
timestamp=1773275383217, cong_win=24203, send_adv_win=64158
timestamp=1773275383240, cong_win=25494, send_adv_win=64158
